"","ZCTA","zip_code","dense"
"12894","38581",38550,40.4703073079015
"12895","38582",38582,42.955313127016
"12896","38583",38583,70.7932855484196
"12897","38585",38585,24.5898750343191
"12898","38587",38587,39.1310191497808
"12899","38588",38588,11.6695142460395
"12900","38589",38589,15.7712576963061
"12901","38601",38601,28.8132771556689
"12902","38603",38603,19.0338743674568
"12903","38606",38606,59.6634774945469
"12904","38610",38610,33.9114377089516
"12905","38611",38679,87.3670539921445
"12906","38611",38611,87.3670539921445
"12907","38614",38669,67.5109183799071
"12908","38614",38614,67.5109183799071
"12909","38614",38739,67.5109183799071
"12910","38617",38617,9.29477161651609
"12911","38618",38618,50.5265899520311
"12912","38618",38602,50.5265899520311
"12913","38618",38638,50.5265899520311
"12914","38619",38619,38.7386214688447
"12915","38620",38620,61.7312222295672
"12916","38621",38621,26.0485941375859
"12917","38622",38622,809.16364043639
"12918","38623",38623,20.5322759521418
"12919","38625",38625,56.2048501899321
"12920","38626",38626,6.63802877751016
"12921","38627",38627,21.2863873113932
"12922","38629",38629,40.1828323658372
"12923","38631",38631,351.793192792808
"12924","38632",38632,189.975046020135
"12925","38633",38633,20.8830050743212
"12926","38635",38635,44.6000346103228
"12927","38635",38649,44.6000346103228
"12928","38635",38634,44.6000346103228
"12929","38637",38637,1680.29387298261
"12930","38639",38639,115.072863673994
"12931","38641",38641,27.439862613154
"12932","38642",38642,27.682679461059
"12933","38643",38609,8.54007668498075
"12934","38643",38643,8.54007668498075
"12935","38644",38644,264.307711819247
"12936","38645",38645,13.189655095066
"12937","38646",38646,22.8878591778212
"12938","38647",38647,12.196392606696
"12939","38650",38650,64.331196302225
"12940","38651",38651,257.754492167622
"12941","38652",38652,100.626138105733
"12942","38654",38654,624.620989501349
"12943","38655",38874,125.307859606306
"12944","38655",38655,125.307859606306
"12945","38655",38675,125.307859606306
"12946","38658",38658,59.4788526225504
"12947","38659",38659,19.0938993273882
"12948","38661",38661,59.7711281243443
"12949","38663",38663,60.6139913781138
"12950","38664",38664,32.8891136281719
"12951","38665",38665,58.2500861258747
"12952","38666",38666,44.031321972674
"12953","38668",38668,88.0805978733398
"12954","38670",38670,10.4849920554611
"12955","38670",38628,10.4849920554611
"12956","38671",38671,1668.00026009717
"12957","38672",38672,1221.04885038734
"12958","38673",38673,38.3447908361823
"12959","38674",38674,34.6539730632664
"12960","38676",38676,31.2821684526191
"12961","38677",38677,4228.28054938658
"12962","38680",38680,291.93780181092
"12963","38680",38686,291.93780181092
"12964","38683",38683,25.963209394742
"12965","38685",38685,11.7376751697368
"12966","38701",38780,237.72783759591
"12967","38701",38701,237.72783759591
"12968","38703",38782,79.2735250377845
"12969","38703",38703,79.2735250377845
"12970","38720",38720,9.32479835481569
"12971","38721",38721,8.22101749425553
"12972","38722",38722,39.0800013721025
"12973","38723",38723,0
"12974","38725",38725,7.80686848250622
"12975","38726",38726,5.58073283352799
"12976","38730",38730,26.7622426680318
"12977","38731",38731,0
"12978","38732",38732,189.465188642808
"12979","38736",38736,7.64145910286181
"12980","38737",38737,27.2624343819095
"12981","38738",38738,149.614229834079
"12982","38740",38740,5.82453093358585
"12983","38744",38744,7.1804124122198
"12984","38745",38745,20.9536111949072
"12985","38746",38746,4.9288702218889
"12986","38748",38748,11.6864547288186
"12987","38751",38751,62.8976447776131
"12988","38753",38753,16.7381734477392
"12989","38754",38754,13.8661338707205
"12990","38756",38776,33.834522400339
"12991","38756",38756,33.834522400339
"12992","38759",38759,21.7449470868795
"12993","38760",38760,614.671583124181
"12994","38761",38761,34.6856674846318
"12995","38762",38762,31.8380759400909
"12996","38764",38764,56.1002414421874
"12997","38765",38765,23.8519369319229
"12998","38767",38767,53.1790447361945
"12999","38768",38768,17.1063716695618
"13000","38769",38769,29.559175809752
"13001","38771",38771,54.4086747893964
"13002","38772",38772,6.63989802366372
"13003","38773",38773,17.795245303108
"13004","38773",38733,17.795245303108
"13005","38774",38774,28.2273741774951
"13006","38778",38778,23.8711653455463
"13007","38781",38781,219.105525006987
"13008","38801",38803,408.558156358233
"13009","38801",38801,408.558156358233
"13010","38801",38802,408.558156358233
"13011","38804",38804,215.573995061511
"13012","38821",38821,89.5882931149406
"13013","38824",38824,53.8182571531035
"13014","38826",38826,186.067732148555
"13015","38827",38827,94.3743258125238
"13016","38828",38828,48.538822963674
"13017","38829",38880,70.1303631922171
"13018","38829",38829,70.1303631922171
"13019","38833",38833,49.0318722654279
"13020","38834",38835,121.711877013944
"13021","38834",38834,121.711877013944
"13022","38838",38838,23.8253951986442
"13023","38841",38841,123.089058491824
"13024","38843",38843,62.7238597559206
"13025","38844",38844,14.6138089428134
"13026","38846",38846,59.6648394334357
"13027","38847",38847,38.4900002456997
"13028","38848",38848,8.44274299675858
"13029","38849",38849,81.010115003833
"13030","38850",38850,22.389130095326
"13031","38851",38875,40.2110527109144
"13032","38851",38877,40.2110527109144
"13033","38851",38851,40.2110527109144
"13034","38852",38852,44.0314415927472
"13035","38855",38855,85.6010556183705
"13036","38856",38856,24.5918537146785
"13037","38857",38857,231.921951597209
"13038","38858",38858,51.5624508113535
"13039","38859",38859,14.1611004959931
"13040","38860",38860,45.753293488653
"13041","38862",38862,67.1845655055302
"13042","38863",38820,65.0429212015488
"13043","38863",38863,65.0429212015488
"13044","38864",38864,23.3656336689826
"13045","38865",38865,45.2471757323043
"13046","38866",38866,155.418210394954
"13047","38868",38868,64.3398020025952
"13048","38869",38869,282.004516302329
"13049","38870",38870,36.0886126916661
"13050","38871",38871,38.9703377860776
"13051","38873",38873,26.190096341166
"13052","38876",38876,15.4584324715009
"13053","38878",38878,30.312992763332
"13054","38879",38879,311.038717774259
"13055","38901",38960,73.9070280803925
"13056","38901",38901,73.9070280803925
"13057","38901",38902,73.9070280803925
"13058","38913",38913,21.266139388908
"13059","38914",38914,11.8331347521063
"13060","38915",38915,28.9340008165943
"13061","38916",38839,25.5254574432666
"13062","38916",38955,25.5254574432666
"13063","38916",38916,25.5254574432666
"13064","38917",38917,18.2258347067399
"13065","38920",38920,10.3032905892063
"13066","38921",38921,33.9402476988051
"13067","38922",38922,14.0015556213808
"13068","38923",38923,11.5306236084345
"13069","38924",38924,3.80282943621745
"13070","38925",38926,11.7290994492454
"13071","38925",38925,11.7290994492454
"13072","38927",38927,19.229435054056
"13073","38928",38928,7.16167888870796
"13074","38929",38929,31.498536276952
"13075","38930",38930,120.128304335938
"13076","38930",38935,120.128304335938
"13077","38940",38940,11.6122079559608
"13078","38941",38941,32.8530463243931
"13079","38943",38943,14.0837344427667
"13080","38944",38944,2.3912538235492
"13081","38946",38959,17.9865364957776
"13082","38946",38946,17.9865364957776
"13083","38947",38947,411.315977533103
"13084","38948",38948,21.7568791744991
"13085","38949",38949,16.8289800772105
"13086","38950",38950,15.6250461582597
"13087","38951",38951,20.6915143555511
"13088","38952",38952,3.34333763218047
"13089","38953",38953,9.85791167563774
"13090","38954",38954,11.6510521361119
"13091","38957",38957,38.0760459417038
"13092","38961",38961,4.71306810743393
"13093","38962",38962,3.35123191109112
"13094","38963",38963,16.8426207622299
"13095","38964",38964,1.92778186631474
"13096","38965",38965,34.9750310164715
"13097","38966",38966,30.4362446118721
"13098","38967",38967,41.2070239981551
"13099","39038",39038,21.8069179102205
"13100","39039",39039,15.4697446642802
"13101","39040",39040,20.9433167419276
"13102","39041",39060,29.0225332467744
"13103","39041",39041,29.0225332467744
"13104","39042",39043,176.982039263947
"13105","39042",39042,176.982039263947
"13106","39042",39151,176.982039263947
"13107","39044",39044,19.6443203825971
"13108","39044",39148,19.6443203825971
"13109","39045",39045,9.94559307903303
"13110","39046",39163,93.5151333696655
"13111","39046",39046,93.5151333696655
"13112","39047",39047,421.532371613686
"13113","39047",39298,421.532371613686
